Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
gAAAAABkUtMbQvar5nkQwUyeUUJGEyS5fbSt3TJgaDUQX-WU4Yflu9gH0buSUoempkZQr32hDuLEnynhfLZfx0ATiZ0_Ie0Y4Q==,gAAAAABkUtMbIeGoAx07RHaZ4ctG5Mg0zoHPEpPXAA9bw8BhzN--KsroHP3IarkZRWJn_pLB9tef16Ma2d6F8nYSYW78UHxMEQ==,Austrian civil servant,Male,Austria,Inventor,1804,1879,natural causes,75
gAAAAABkUtMcaZCP1J4-ahedi55-2h47Gwga0IDry0TCm4kfRtYeOX0ujEcKr14Mm1vTfqHOGz7Q2nj9CpmZ6XhlryJP06ftvQ==,gAAAAABkUtMcNc0nf325GrC05DLmbqT_yvY_PVuE-OJ6F5cKacoi0jnmV4Mayt-euF4ADT5zL38Jj6WjICQeZ5gXCiGCMX9TfQ==,German jurist,Male,Nazi Germany; German Empire,Politician,1907,1946,suicide,39
gAAAAABkUtMc3iVGpJSiA5c89eFGWgIhPgArt23LXD5sCIhtL3C9J0CyjWxo9ek19EQEMBOffQ9abQANk7A_zABYzcV36jpONQ==,gAAAAABkUtMcIRVUiCICKKJ9avBbsSY1vJOy4ru21mcZYXWR_DMPBJOXaFOZAdSSMpDxuHZ1ahfgX2k9eOytaZ1qOZ2EeOG2Nw==,Political scientist and sociologist (1903-1986),Male,United States of America; Austria,Teacher,1903,1986,natural causes,83
gAAAAABkUtMc551tHep2L8ufBSNSCbp630RdMjJacrOwsZm00apD3srvoHtP3XDh88garcFWwBXmByyTiytJQGbl2N22v9bkqA==,gAAAAABkUtMcgGde-ctjdzMJhcpzGEA8W1K1iijiKeBI7u7LrFPq5YGZLU2yCI4ArfBxNv94Q5QkQMeqOae9ymH-pRQuA_evqQ==,German actress,Female,Germany; German Democratic Republic,Artist,1955,2018,natural causes,63
gAAAAABkUtMclGn4guuehI4YgeR6MzZ-ik1OFzwZEEsGAD9iuG-H3kPrL6zCe2VUHZ_rN6ozZMsXQ19EWAh7_zzzC5OZYup5vw==,gAAAAABkUtMcfSg4yfe1TEZ4fYQ19GBMPWEKfaOCt0tjkl5T9FAXjzLOcqQYWYFyWzQOXzgWOcMLR9TpCsX2-Y5ZMRdFHthdyg==,Austrian politician (1921-2005),Male,Austria,Politician,1921,2005,natural causes,84
gAAAAABkUtMcTXEdgi5C8lErD2v7N3Z6kySjxW9ePH6_PzjhNQxY3iV5AdO7BOq7o9lkyB1TFSYLT8sFMFaeuYbXRqOZyCFjfg==,gAAAAABkUtMc80XOJABY9GcEd6SVnSeJohT0aScbU90sl3IK6BrATvZ6gYPQuvhMZG_X--vZAXCw57ePxjVUMCyRkvk6oDPymg==,German resistance fighter (1886-1945),Male,Germany,Politician,1886,1945,capital punishment,59
gAAAAABkUtMcohc0-Aaq_DR4tDgPTSsETjWe_9yHpk0uLwsBYRn7iAodsF3S4-mFqMRpJmagcvEpDeJ-oRhU8xwvbwxyx0AwQg==,gAAAAABkUtMcItoBJwFdrwpdnm85_8vj-g8eZYtlt2JR39XOMh5hRfeQPSR4ZyVB0EM9dsh-MW8FuUTf_VDKuHh-IGhV_ZPYFA==,"French recording artist, dancer, singer, and actress",Female,France,Artist,1936,1995,natural causes,59
gAAAAABkUtMc6eRPPqqXEX1Ahtu9Afuy1shJwgc-XBdEiRJ_tAH9JQ2geW2wRsuWrZME24mvRBlDIymBZ5udvWendEitIfl01g==,gAAAAABkUtMc-5wMjYt3gabk3_TWe372ELrWzOnLpDKP5UXu36eQT-dv1FlN5s88VvJP-FJxzcZvCPFQBc8J-Tpi9mi-K9P4Ed37C6SpvebvGOR9dlqP8Tc=,German newspaper editor,Male,Germany,Artist,1959,2014,natural causes,55
gAAAAABkUtMdG9BxiO6TaHyBQObi08-yrex0nGFsDZVjEB8wOGyCLJPVCfZy88SitAFQOrXfwSknhVySe5WPVmWofldjo39plw==,gAAAAABkUtMdQVOPNnqG30u2PpW668r1zt8F7_d9uerEQviqQwa-PiaQ8t9PnhkcSCHkh-QykCtAMDxkOn5Y-GQUSxLsAXbnzYEFFGJpUWTRlRzibBtZR08=,Austrian writer,Female,Austria,Artist,1920,1970,natural causes,50
gAAAAABkUtMd5_0x-9Aa32S6MDFUQcxYRoopv_EtSWlLc6xY18BmUgAjHKv5M0ASVU5Y1DyAFsqZvCQThnMiK1Ze-gNUjxMtDw==,gAAAAABkUtMdMzSX963Khqq5dM495aI57AbJpbgeFjb8yJjOfoAwBPJ56jPChaP-FI_p3X6BWNfjgeEWHpTQoNbAxNQHtj08ygjyyaTdK7LSexbT9YF_5ic=,German actor,Male,Germany,Artist,1952,2010,natural causes,58
