Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
Q167368,Willie Francis,American best known for surviving a failed execution by electrocution in the United States,Male,United States of America,Criminal,1929,1947,capital punishment,18
Q167381,Yannis Kyrastas,Greek footballer (1952-2004),Male,Greece,Athlete,1952,2004,natural causes,52
Q167423,Alexandra of Yugoslavia,Queen Consort of Yugoslavia (1921-1993),Female,Kingdom of Yugoslavia,Politician,1921,1993,natural causes,72
Q167429,Ephraim Kishon,"Israeli author, dramatist, screenwriter and film director",Male,Israel; Israelis,Artist,1924,2005,natural causes,81
Q167443,Milan Nedić,Serbian general and politician,Male,Kingdom of Yugoslavia; Kingdom of Serbia; Principality of Serbia,Politician,1878,1946,suicide,68
Q167444,John Garang,South Sudanese politician (1945-2005),Male,Sudan,Politician,1945,2005,accident,60
Q167464,Angela Baddeley,actress,Female,United Kingdom,Artist,1904,1976,natural causes,72
Q167495,Richard Cain,American police officer,Male,United States of America,Police officer,1931,1973,homicide,42
Q167518,Neal Cassady,American cultural figure of 1950s and 1960s,Male,United States of America,Artist,1926,1968,accident; natural causes,42
Q167526,Muhammad Fahim,Afghan politician (1957-2014),Male,Afghanistan,Politician,1957,2014,natural causes,57
Q167546,Lucio Dalla,"Italian recording artist, singer-songwriter, musician and actor",Male,Italy; Kingdom of Italy,Artist,1943,2012,natural causes,69
Q167573,Mikhail Kalashnikov,Soviet and Russian small arms designer,Male,Russia; Soviet Union,Engineer,1919,2013,natural causes,94
Q167717,Venetia Stanley,socialite,Female,United Kingdom,Socialite,1887,1948,natural causes,61
Q167724,Guido de Marco,Maltese politician (1931-2010),Male,Malta,Politician,1931,2010,natural causes,79
Q167818,Steve McNair,American football quarterback (1973-2009),Male,United States of America,Athlete,1973,2009,suicide,36
Q167821,Gore Vidal,American writer (1925-2012),Male,United States of America,Artist,1925,2012,natural causes,87
Q167828,Lev Yashin,Soviet association football player (1929-1990),Male,Soviet Union,Athlete,1929,1990,natural causes,61
Q167853,James Aubrey Crabe,American cinematographer,Male,United States of America,Cinematographer,1931,1989,natural causes,58
Q167877,Michael Jackson,English writer and journalist,Male,United Kingdom,Artist,1942,2007,natural causes,65
Q167979,Jacqueline Pearce,British actress (1943-2018),Female,United Kingdom,Artist,1943,2018,natural causes,75
Q167997,Otto Schmidt,Russian and Soviet geophysicist and polar explorer (1891-1956),Male,Soviet Union; Russian Empire; Russian Republic; Russian Soviet Federative Socialist Republic,Researcher,1891,1956,natural causes,65
Q168041,Zbigniew Brzezinski,Polish-American political scientist,Male,United States of America; Second Polish Republic,Researcher,1928,2017,natural causes,89
Q168049,Zbigniew Cybulski,Polish actor (1927-1967),Male,Poland,Artist,1927,1967,accident,40
Q168092,Zbigniew Karkowski,Experimental musician and composer,Male,Poland,Artist,1958,2013,natural causes,55
Q168119,Anastasia Baburova,Ukrainian journalist,Female,Russia; Ukraine; Soviet Union,Journalist,1983,2009,homicide; homicide,26
Q168125,Zbigniew Messner,Polish Communist economist and politician (1929-2014),Male,Poland,Politician,1929,2014,natural causes,85
Q168161,Zbigniew Religa,Polish cardiac surgeon and politician (1938-2009),Male,Poland,Politician,1938,2009,natural causes,71
Q168190,Zbigniew Wassermann,Polish politician (1949-2010),Male,Poland,Politician,1949,2010,accident,61
Q168339,Hisaichi Terauchi,Japanese general (1879-1946),Male,Japan,Politician,1879,1946,natural causes,67
Q168355,Don Beddoe,Film and television actor (1903-1991),Male,United States of America,Artist,1903,1991,natural causes,88
Q168359,Jean Marais,French actor and theatre director (1913-1998),Male,France,Artist,1913,1998,natural causes,85
Q168441,Irène Némirovsky,French novelist who died at the age of 39 in Auschwitz,Female,France; Russian Empire,Artist,1903,1942,internment,39
Q168509,Jean-Marie Lustiger,French Catholic cardinal,Male,France,Artist,1926,2007,natural causes,81
Q168542,Adalbert Stifter,"Austrian painter, pacifist and writer (1805-1868)",Male,Austria,Artist,1805,1868,suicide,63
Q168587,Sol LeWitt,American artist (1928-2007),Male,United States of America,Artist,1928,2007,natural causes,79
Q168600,Woody Shaw,American musician,Male,United States of America,Artist,1944,1989,accident; natural causes,45
Q168629,Étienne Tshisekedi,Democratic Republic of Congo Prime Minister (1932-2017),Male,Democratic Republic of the Congo,Politician,1932,2017,natural causes,85
Q168693,Jean-Pierre Melville,French film director (1917-1973),Male,France,Artist,1917,1973,natural causes,56
Q168847,Brittany Murphy,American actress (1977-2009),Female,United States of America,Artist,1977,2009,natural causes,32
Q168946,Zdenko Runjić,Croatian songwriter,Male,Croatia,Artist,1942,2004,natural causes,62
Q169011,John C. Frémont,United States Army general and explorer (1813-1890),Male,United States of America,Researcher,1813,1890,natural causes,77
Q169076,Zdeněk Veselovský,"Czech etologist, ornithologist, university educator, science writer and zoologist",Male,Czech Republic,Researcher,1928,2006,natural causes,78
Q169246,Zdzisław Beksiński,Polish artist (1929-2005),Male,Poland,Artist,1929,2005,homicide,76
Q169303,Rob Ford,"Canadian politician, 64th Mayor of Toronto (1969-2016)",Male,Canada,Politician,1969,2016,natural causes,47
Q169566,H. P. Lovecraft,American author,Male,United States of America,Artist,1890,1937,natural causes,47
Q169906,Jacques Lacan,French psychoanalyst and psychiatrist,Male,France,Psychoanalyst,1901,1981,natural causes,80
Q170042,Bill Monroe,"American bluegrass musician, songwriter",Male,United States of America,Artist,1911,1996,natural causes,85
Q170068,Akseli Gallen-Kallela,Finnish painter (1865-1931),Male,Finland,Artist,1865,1931,natural causes,66
Q170095,Robert Desnos,French writer,Male,France,Artist,1900,1945,natural causes,45
Q170184,Princess Marina of Greece and Denmark,"wife of Prince George, Duke of Kent; youngest daughter of Prince Nicholas of Greece and Grand Duchess Elena Vladimirovna of Russia",Female,United Kingdom,Patron of the arts,1906,1968,natural causes,62
Q170256,Chris Marker,French filmmaker,Male,France,Artist,1921,2012,natural causes,91
Q170293,Grand Duke George Alexandrovich of Russia,Russian grand duke,Male,Russian Empire,Aristocrat,1871,1899,natural causes,28
Q170509,Henry James,"American novelist, short story author, and literary critic",Male,United States of America; France; United Kingdom; Kingdom of Italy,Artist,1843,1916,natural causes,73
Q170515,Omar Sharif,Egyptian actor (1932-2015),Male,Egypt,Athlete,1932,2015,natural causes,83
Q170596,T. E. Lawrence,"British archaeologist, military officer, and diplomat",Male,United Kingdom,Researcher,1888,1935,accident,47
Q170726,Enrico Caruso,Italian operatic tenor,Male,Kingdom of Italy,Artist,1873,1921,natural causes,48
