,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
1,Q42,Douglas Adams,English writer and humorist,Male,United Kingdom,Artist,1952,2001,natural causes,49
2,Q91,Abraham Lincoln,16th president of the United States (1809-1865),Male,United States,Politician,1809,1865,homicide,56
7,Q296,Claude Monet,French impressionist painter (1840-1926),Male,France,Artist,1840,1926,natural causes,86
10,Q303,Elvis Presley,American singer and actor (1935–1977),Male,United States,Artist,1935,1977,natural causes,42
14,Q352,Adolf Hitler,"Austrian-born German politician, chancellor and Führer of Germany, leader of the  Party (1889-1945)",Male, Germany,Statesperson,1889,1945,suicide,56
17,Q368,Augusto Pinochet,"General, politician of Chile (1915-2006)",Male,Chile,Politician,1915,2006,natural causes,91
20,Q407,Linda Lovelace,"American pornographic actress, later anti-porn activist",Female,United States,Artist,1949,2002,accident,53
21,Q409,Bob Marley,"Jamaican singer, songwriter and musician",Male,Jamaica,Artist,1945,1981,natural causes,36
22,Q410,Carl Sagan,"American astrophysicist, cosmologist, author and science educator",Male,United States,Researcher,1934,1996,natural causes,62
23,Q440,Salvador Allende,28th president of Chile (1908–1973),Male,Chile,Politician,1908,1973,suicide,65
25,Q449,Georges Brassens,French singer-songwriter and poet,Male,France,Artist,1921,1981,natural causes,60
27,Q475,Eduardo Frei Montalva,President of Chile (1911-1982),Male,Chile,Politician,1911,1982,homicide,71
28,Q493,Arthur Rimbaud,"19th century French poet who influenced modern literature and arts, and prefigured surrealism",Male,France,Artist,1854,1891,natural causes,37
30,Q501,Charles Baudelaire,"French poet, essayist and art critic (1821-1867)",Male,France,Artist,1821,1867,natural causes,46
32,Q504,Émile Zola,French writer,Male,France,Artist,1840,1902,accident,62
33,Q512,Vladimir Vysotsky," singer, songwriter, poet and actor",Male,Russia,Artist,1938,1980,natural causes,42
35,Q529,Louis Pasteur,French chemist and microbiologist,Male,France,Researcher,1822,1895,natural causes,73
37,Q539,Giuseppe Garibaldi,"Italian general, patriot and republican (1807-1882)",Male,France,Artist,1807,1882,natural causes,75
44,Q632,Jean Moulin,French resistance fighter and civil servant,Male,France,Official; french resistance fighter,1899,1943,homicide,44
54,Q755,Paul Verlaine,French poet,Male,France,Artist,1844,1896,natural causes,52
59,Q820,Juan Antonio Rios,Chilean politician and President (1888-1946),Male,Chile,Politician,1888,1946,natural causes,58
60,Q835,Mikhail Bulgakov,Russian author,Male,Russia,Artist,1891,1940,natural causes,49
62,Q845,Pedro Aguirre Cerda,Chilean politician and President (1879-1941),Male,Chile,Politician,1879,1941,natural causes,62
63,Q848,Arturo Alessandri,Chilean politician and President,Male,Chile,Politician,1868,1950,natural causes,82
65,Q853,Andrei Tarkovsky," and Russian filmmaker, writer, film editor, film theorist, and theatre and opera director",Male,Russia,Artist,1932,1986,natural causes,54
66,Q855,Joseph Stalin," politician, general secretary of the Communist Party of the Russia and premier of the Russia (1878-1953)",Male,Russia,Politician,1879,1953,natural causes,74
69,Q862,Joseph Brodsky,Russian-American poet,Male,United States,Artist,1940,1996,natural causes,56
71,Q882,Charlie Chaplin,British comic actor and filmmaker (1889-1977),Male,United Kingdom,Artist,1889,1977,natural causes,88
72,Q885,Józef Piłsudski,"Polish politician, First Marshall and Prime Minister (1867-1935)",Male,Poland,Politician,1867,1935,natural causes,68
75,Q909,Jorge Luis Borges,"Argentine short story writer, essayist, poet and translator (1899-1986)",Male,Argentina,Researcher,1899,1986,natural causes,87
78,Q926,Roald Amundsen,Norwegian explorer; first person to reach the South Pole,Male,Norway,Researcher,1872,1928,accident,56
79,Q927,Harry Mulisch,Dutch writer,Male,Netherlands,Artist,1927,2010,natural causes,83
82,Q937,Albert Einstein,German-born theoretical physicist; developer of the theory of relativity (1879–1955),Male,United States,Researcher,1879,1955,natural causes,76
84,Q949,John Bardeen,American physicist and engineer,Male,United States,Researcher,1908,1991,natural causes,83
86,Q989,John Paul II,264th pope of the Catholic Church,Male,Poland,Researcher,1920,2005,natural causes,85
88,Q997,Andrei Sakharov, nuclear physicist and human rights activist,Male,Russia,Researcher,1921,1989,natural causes,68
89,Q1001,Mahatma Gandhi,pre-eminent leader of Indian nationalism during the British Raj (1869-1948),Male,India,Artist,1869,1948,homicide,79
90,Q1031,France Prešeren,"Slovene national poet, a Carniolan Romantic poet of Slovene descent",Male,Austria,Artist,1800,1849,natural causes,49
94,Q1056,Italo Balbo,Italian Marshal of the Air Force and minister (1896-1940),Male,Italy,Politician,1896,1940,accident,44
98,Q1149,Indira Gandhi,Indian Prime Minister and politician (1917-1984),Female,India,Politician,1917,1984,homicide,67
102,Q1203,John Lennon,"English singer and songwriter, founding member of The Beatles (1940-1980)",Male,United Kingdom,Artist,1940,1980,homicide,40
104,Q1224,Carlo Azeglio Ciampi,10th President of Italy,Male,Italy,Politician,1920,2016,natural causes,96
114,Q1254,Kofi Annan,7th Secretary-General of the United Nations (1938-2018),Male,Ghana,Politician,1938,2018,natural causes,80
115,Q1257,Boutros Boutros-Ghali,6th Secretary-General of the United Nations (1922-2016),Male,Egypt,Artist,1922,2016,accident,94
116,Q1260,Kurt Waldheim,"4th Secretary-General of the United Nations, President of Austria (1918-2007)",Male,Austria,Politician,1918,2007,natural causes,89
117,Q1267,Dag Hammarskjöld,"Swedish diplomat, economist, and author (1905-1961)",Male,Sweden,Artist,1905,1961,accident,56
118,Q1268,Frédéric Chopin,Polish composer and pianist,Male,Poland,Artist,1810,1849,natural causes,39
119,Q1271,Trygve Lie,1st Secretary-General of the United Nations (1896-1968),Male,Norway,Politician,1896,1968,natural causes,72
121,Q1276,Leonard Cohen,Canadian poet and singer-songwriter,Male,Canada,Artist,1934,2016,accident,82
124,Q1298,Pedro Montt,Chilean politician and President (1849-1910),Male,Chile,Politician,1849,1910,natural causes,61
126,Q1316,Saddam Hussein,Iraqi politician and President,Male,Iraq,Politician,1937,2006,capital punishment,69
127,Q1317,Osama bin Laden,Saudi Arabian founder of al-Qaeda,Male,Saudi Arabia,Businessperson,1957,2011,death in battle,54
128,Q1318,Aníbal Zañartu,Chilean politician and Vice President (1847-1902),Male,Chile,Politician,1847,1902,natural causes,55
131,Q1322,José Manuel Balmaceda,Chilean politician and President (1840-1891),Male,Chile,Politician,1840,1891,suicide,51
135,Q1326,Federico Errázuriz Zañartu,Chilean politician (1825-1877),Male,Chile,Politician,1825,1877,natural causes,52
145,Q1381,Dave Arneson,American game designer,Male,United States,Game designer; role-playing game designer,1947,2009,natural causes,62
146,Q1394,Vladimir Lenin,"Russian politician, communist theorist, and founder of the Russia (1870-1924)",Male,Russia,Politician,1870,1924,natural causes,54
151,Q1463,Ferdinand Marcos,former president of the Philippines from 1965 to 1986,Male,Philippines,Politician,1917,1989,natural causes,72
153,Q1480,Corazon Aquino,Philippine politician and President (1933-2009),Female,Philippines,Politician,1933,2009,natural causes,76
156,Q1500,José Rizal,"Filipino writer, nationalist; National Hero of the Philippines (1861-1896)",Male,Philippines,Researcher,1861,1896,capital punishment,35
157,Q1503,Manuel L. Quezon,Second President of the Philippines from 1935 to 1944,Male,Philippines,Politician,1878,1944,natural causes,66
158,Q1511,Richard Wagner,German composer and conductor,Male,Germany,Artist,1813,1883,natural causes,70
159,Q1512,Robert Louis Stevenson,"Scottish novelist, poet, essayist, and travel writer",Male,United Kingdom,Artist,1850,1894,natural causes,44
160,Q1514,Janis Joplin,American singer and songwriter,Female,United States,Artist,1943,1970,accident,27
167,Q1615,Neil Armstrong,American astronaut and the first human to walk on the moon,Male,United States,Teacher,1930,2012,natural causes,82
168,Q1618,Charles Lindbergh,"American aviator, author, inventor, explorer, and social activist",Male,United States,Artist,1902,1974,natural causes,72
171,Q1631,Édith Piaf,French singer,Female,France,Artist,1915,1963,natural causes,48
173,Q1638,Primo Nebiolo,Italian sports official and IAAF president,Male,Italy,Athlete,1923,1999,natural causes,76
174,Q1646,Françoise Sagan,French writer,Female,France,Artist,1935,2004,natural causes,69
175,Q1666,Jacques Brel,Belgian singer-songwriter,Male,Belgium,Artist,1929,1978,natural causes,49
176,Q1698,Serge Gainsbourg,"French singer, songwriter, pianist, film composer, poet, painter, screenwriter, writer, actor and director (1928-1991)",Male,France,Artist,1928,1991,natural causes,63
177,Q1768,Ella Fitzgerald,American jazz singer,Female,United States,Artist,1917,1996,natural causes,79
178,Q1775,Brownie Mary,American medical cannabis activist,Female,United States,Activist,1922,1999,natural causes,77
179,Q1779,Louis Armstrong,"American jazz trumpeter, composer and singer",Male,United States,Artist,1900,1971,natural causes,71
185,Q1802,Daniel Balavoine,French recording artist; singer-songwriter,Male,France,Artist,1952,1986,accident,34
188,Q2001,Stanley Kubrick,American filmmaker,Male,United States,Athlete,1928,1999,natural causes,71
189,Q2022,Cesare Pavese,"Italian poet, novelist, literary critic, and translator",Male,Italy,Researcher,1908,1950,suicide,42
190,Q2038,François Mitterrand,21st President of the French Republic (1916-1996),Male,France,Politician,1916,1996,natural causes,80
191,Q2040,Giuseppe Farina,Italian racecar driver,Male,Italy,Racing automobile driver,1906,1966,accident,60
192,Q2042,Charles de Gaulle,eighteenth President of the French Republic (1890-1970),Male,France,Politician,1890,1970,natural causes,80
195,Q2104,Mike Hawthorn,British racing driver,Male,United Kingdom,Formula one driver,1929,1959,accident,30
196,Q2105,Jacques Chirac,French statesman and official (1932–2019),Male,France,Politician,1932,2019,natural causes,87
199,Q2125,Jack Brabham,Australian racing driver,Male,Australia,Athlete,1926,2014,natural causes,88
200,Q2185,Georges Pompidou,19th President of the French Republic (1911-1974),Male,France,Politician,1911,1974,natural causes,63
201,Q2190,Coluche,French comedian and actor,Male,France,Artist,1944,1986,accident,42
202,Q2196,Pierre Desproges,French humorist,Male,France,Artist,1939,1988,natural causes,49
203,Q2274,Chet Baker,American jazz trumpeter and vocalist (1929-1988),Male,United States,Artist,1929,1988,accident,59
204,Q2291,Totò,"Italian comedian, actor, and musician",Male,Italy,Artist,1898,1967,natural causes,69
206,Q2496,Ludwig Erhard,Chancellor of West Germany (1963–1966),Male,Germany,Politician,1897,1977,natural causes,80
208,Q2514,Willy Brandt,"Chancellor of West Germany (1969–1974), SPD",Male,Norway,Artist,1913,1992,natural causes,79
209,Q2516,Helmut Schmidt,"Chancellor of West Germany (1974-1982), SPD",Male,Germany,Artist,1918,2015,natural causes,97
216,Q2571,Walter Scheel,President of West Germany (1974-1979),Male,Germany,Politician,1919,2016,natural causes,97
221,Q2604,Pius XII,260th Pope of the Catholic Church,Male,Italy,Politician,1876,1958,natural causes,82
222,Q2607,Erich Honecker,German politician (1912-1994),Male,Germany,Politician,1912,1994,natural causes,82
225,Q2643,George Harrison,British musician and lead guitarist of the Beatles (1943-2001),Male,United Kingdom,Artist,1943,2001,natural causes,58
226,Q2646,Friedrich Ebert,"German politician, president of Germany (1871-1925)",Male,Germany,Politician,1871,1925,natural causes,54
228,Q2667,Paul von Hindenburg,"Prussian-German field marshal, statesman, and president of Germany (1847-1934)",Male, Germany,Politician,1847,1934,natural causes,87
229,Q2677,Wilhelm II,German Emperor and King of Prussia,Male,Germany,Statesperson,1859,1941,natural causes,82
230,Q2737,Louis de Funès,French actor and comedian,Male,France,Artist,1914,1983,natural causes,69
231,Q2750,Bourvil,"French actor, comedian and singer",Male,France,Artist,1917,1970,natural causes,53
232,Q2754,Jaroslav Hašek,"Czech humorist, satirist, writer and anarchist",Male,Austria,Journalist,1883,1923,natural causes,40
233,Q2757,Lech Kaczyński,"Polish politician, democratic oppositionist, ministry of justice, president of Poland (1949-2010)",Male,Poland,Artist,1949,2010,accident,61
235,Q2831,Michael Jackson,American recording artist; singer and songwriter (1958-2009),Male,United States,Athlete,1958,2009,natural causes,51
238,Q2998,Amy Johnson,pioneering English aviator,Female,United Kingdom,Military personnel,1903,1941,accident,38
246,Q3112,Phil Hill,American race car driver,Male,United States,Racing automobile driver; formula one driver,1927,2008,natural causes,81
247,Q3128,Graham Hill,British racing driver,Male,United Kingdom,Engineer,1929,1975,accident,46
251,Q3166,Denny Hulme,New Zealand racing driver,Male,New Zealand,Racing automobile driver; formula one driver,1936,1992,natural causes,56
254,Q3234,Jochen Rindt,Austrian racing driver,Male,Austria,Racing automobile driver; formula one driver,1942,1970,accident,28
266,Q3335,George Orwell,English author and journalist,Male,United Kingdom,Artist,1903,1950,natural causes,47
282,Q3925,Grace Kelly,American actress and Princess consort of Monaco,Female,United States,Artist,1929,1982,accident,53
285,Q4012,Paul von Rennenkampf,Russian general,Male,Russia,Military personnel,1854,1918,unnatural death,64
288,Q4030,Duke Ellington,"American jazz musician, composer and band leader",Male,United States,Artist,1899,1974,natural causes,75
292,Q4137,Elsa Triolet,French writer,Female,France,Artist,1896,1970,natural causes,74
293,Q4145,Patrice O'Neal,"American stand-up comedian, radio personality, and actor (1969-2011)",Male,United States,Artist,1969,2011,natural causes,42
295,Q4227,James Coburn,American actor,Male,United States,Artist,1928,2002,natural causes,74
308,Q4441,Emily Dickinson,American poet,Female,United States,Artist,1830,1886,natural causes,56
310,Q4448,Benedict XV,258th Pope of the Catholic Church,Male,Italy,Religious figure,1854,1922,natural causes,68
318,Q4583,Anne Frank,German-born diarist and Holocaust victim (1929-1945),Female,Germany,Artist,1929,1945,natural causes,16
319,Q4593,Rajiv Gandhi,sixth Prime Minister of India (1944-1991),Male,India,Politician,1944,1991,homicide,47
321,Q4605,Sarah Bernhardt,French actress,Female,France,Artist,1844,1923,natural causes,79
322,Q4612,Marlene Dietrich,German-American actress and singer (1901-1992),Female,United States,Artist,1901,1992,natural causes,91
323,Q4616,Marilyn Monroe,"American actress, model, and singer (1926-1962)",Female,United States,Artist,1926,1962,suicide,36
325,Q4631,Mohamed Morsi,5th President of Egypt (1951-2019),Male,Egypt,Politician,1951,2019,natural causes,68
327,Q4673,Paul Otto,German film actor and director,Male,Germany,Artist,1878,1943,suicide,65
331,Q4700,Claude Debussy,French composer,Male,France,Artist,1862,1918,natural causes,56
334,Q4724,Le Corbusier,"Swiss-French architect, designer, urbanist, and writer (1886-1965)",Male,Switzerland,Artist,1887,1965,natural causes,78
340,Q4761,Ernst Mielck,Finnish composer,Male,Finland,Artist,1877,1899,natural causes,22
341,Q4762,Roy Budd,British jazz musician and composer,Male,United Kingdom,Artist,1947,1993,natural causes,46
368,Q5031,Elder Paisios of Mount Athos,Greek Eastern Orthodox monk,Male,Greece,Monk; ascetic,1924,1994,natural causes,70
379,Q5152,Mustafa Kemal Atatürk,Founding father of the Turkish nation state (1881-1938),Male,Turkey,Politician,1881,1938,natural causes,57
406,Q5383,David Bowie,"British singer, musician, and actor (1947-2016)",Male,United Kingdom,Artist,1947,2016,natural causes,69
407,Q5396,Louis Blériot,"French aviator, inventor and engineer",Male,France,Businessperson,1872,1936,natural causes,64
409,Q5443,Greta Garbo,Swedish-American actress (1905-1990),Female,United States,Artist,1905,1990,natural causes,85
410,Q5444,Pietro Mennea,Italian sprinter and politician (1952-2013),Male,Italy,Athlete,1952,2013,natural causes,61
417,Q5577,Salvador Dalí,Spanish artist (1904-1989),Male,Spain,Artist,1904,1989,natural causes,85
420,Q5582,Vincent van Gogh,Dutch post-impressionist painter (1853–1890),Male,Netherlands,Artist,1853,1890,suicide,37
423,Q5588,Frida Kahlo,Mexican painter,Female,Mexico,Artist,1907,1954,natural causes,47
424,Q5589,Henri Matisse,French artist,Male,France,Artist,1869,1954,natural causes,85
427,Q5593,Pablo Picasso,Spanish artist (1881-1973),Male,Spain,Artist,1881,1973,natural causes,92
432,Q5603,Andy Warhol,American artist and film director and producer (1928-1987),Male,United States,Artist,1928,1987,natural causes,59
454,Q5685,Anton Chekhov,"Russian dramatist, author and physician",Male,Russia,Artist,1860,1904,natural causes,44
455,Q5686,Charles Dickens,English writer and social critic,Male,United Kingdom,Artist,1812,1870,natural causes,58
459,Q5752,Peter Kropotkin,"Russian zoologist, evolutionary theorist, philosopher, scientist, revolutionary, economist, activist, geographer, writer (1842-1921)",Male,Russia,Researcher,1842,1921,natural causes,79
460,Q5809,Che Guevara,Argentine Marxist revolutionary,Male,Cuba,Athlete,1928,1967,extrajudicial killing,39
462,Q5816,Mao Zedong,Chairman of the Central Committee of the Communist Party of China (1893-1966),Male,China,Artist,1893,1976,natural causes,83
465,Q5878,Gabriel García Márquez,"Colombian writer, journalist and Nobel laureate in literature",Male,Colombia,Artist,1927,2014,natural causes,87
468,Q5921,Chuck Berry,"American singer, songwriter and guitarist",Male,United States,Artist,1926,2017,natural causes,91
469,Q5928,Jimi Hendrix,"American guitarist, singer and songwriter",Male,United States,Artist,1942,1970,accident,28
470,Q5950,James Brown,"American singer, songwriter, musician, and recording artist (1933-2006)",Male,United States,Artist,1933,2006,natural causes,73
471,Q5969,Eddie Cochran,American rock and roll pioneer,Male,United States,Artist,1938,1960,accident,22
475,Q6105,Hebe Camargo,"Brazilian recording artist, television host, singer",Female,Brazil,Artist,1929,2012,natural causes,83
476,Q6107,Tupac Shakur,American rapper (1971–1996),Male,United States,Artist,1971,1996,homicide,25
490,Q6711,Allen Ginsberg,American poet,Male,United States,Artist,1926,1997,natural causes,71
499,Q7091,Évariste Galois,French mathematician,Male,France,Researcher,1811,1832,homicide,21
500,Q7099,Emmy Noether,German mathematician,Female,Germany,Researcher,1882,1935,natural causes,53
503,Q7122,Michel Audiard,French screenwriter and film director,Male,France,Artist,1920,1985,natural causes,65
506,Q7186,Marie Curie,Polish-French physicist and chemist (1867-1934),Female,Poland,Researcher,1867,1934,natural causes,67
508,Q7197,Simone de Beauvoir,"French writer, intellectual, existentialist philosopher, political activist, feminist, and social theorist",Female,France,Artist,1908,1986,natural causes,78
524,Q7231,Rosa Luxemburg,"Polish Marxist theorist, socialist philosopher, and revolutionary, editor",Female,Germany,Politician,1871,1919,homicide,48
530,Q7243,Leo Tolstoy,Russian writer,Male,Russia,Artist,1828,1910,natural causes,82
532,Q7245,Mark Twain,American author and humorist,Male,United States,Artist,1835,1910,natural causes,75
536,Q7251,Alan Turing,"British mathematician, logician, cryptanalyst, and computer scientist",Male,United Kingdom,Researcher,1912,1954,suicide,42
537,Q7259,Ada Lovelace,"English mathematician, considered the first computer programmer",Female,United Kingdom,Researcher,1815,1852,natural causes,37
549,Q7294,Johannes Brahms,German composer and pianist,Male,Germany,Artist,1833,1897,natural causes,64
551,Q7298,Antonín Dvořák,Czech composer (1841-1904),Male,Austria,Researcher,1841,1904,natural causes,63
555,Q7304,Gustav Mahler,Austrian late-Romantic composer,Male,Austria,Artist,1860,1911,natural causes,51
557,Q7311,Giacomo Puccini,Italian opera composer (1858-1924),Male,Italy,Artist,1858,1924,natural causes,66
559,Q7314,Igor Stravinsky,"Russian composer, pianist and conductor",Male,United States,Artist,1882,1971,natural causes,89
560,Q7315,Pyotr Ilyich Tchaikovsky,Russian composer,Male,Russia,Artist,1840,1893,natural causes,53
562,Q7317,Giuseppe Verdi,Italian opera composer (1813-1901),Male,Italy,Artist,1813,1901,natural causes,88
571,Q7336,Otto Frank,German-born businessman and father of Anne Frank,Male,Switzerland; Netherlands; Alemania,Artist,1889,1980,natural causes,91
573,Q7339,Margot Frank,older sister of Anne Frank,Female,Netherlands; Weimar Republic,Student,1926,1945,homicide; natural causes,19
574,Q7346,John Coltrane,American jazz saxophonist,Male,United States,Artist,1926,1967,natural causes,41
576,Q7351,Robert Schumann,German composer,Male,Germany,Artist,1810,1856,natural causes,46
581,Q7371,Federico Fellini,Italian filmmaker,Male,Italy,Artist,1920,1993,natural causes,73
582,Q7374,Alfred Hitchcock,British film director and producer (1899-1980),Male,United States,Artist,1899,1980,natural causes,81
599,Q7416,Margaret Thatcher,British stateswoman and prime minister (1925–2013),Female,United Kingdom,Researcher,1925,2013,natural causes,88
604,Q7423,Karen Wetterhahn,American chemist,Female,United States,Researcher,1948,1997,accident,49
626,Q7474,Rosalind Franklin,"British chemist, biophysicist, and X-ray crystallographer",Female,United Kingdom,Researcher,1920,1958,natural causes,38
641,Q7490,Clara Immerwahr,German chemist,Female,Germany,Researcher,1870,1915,suicide,45
649,Q7504,Irène Joliot-Curie,French scientist (1897-1956),Female,France,Researcher,1897,1956,natural causes,59
652,Q7513,Kathleen Lonsdale,Irish crystallographer,Female,United Kingdom,Researcher,1903,1971,natural causes,68
660,Q7541,Sally Floyd,American computer scientist,Female,United States,Researcher,1950,2019,natural causes,69
661,Q7542,Prince,"American singer, musician, and songwriter",Male,United States,Artist,1958,2016,accident,58
663,Q7555,Jude Milhon,American hacker & author,Female,United States,Researcher,1939,2003,natural causes,64
666,Q7721,Napoleon III,"French emperor, president, and member of the House of Bonaparte (1808-1873)",Male,France,Politician,1808,1873,natural causes,65
667,Q7723,Napoleon II,Emperor of the French,Male,France,Drawer,1811,1832,natural causes,21
668,Q7724,August Strindberg,"Swedish novelist, poet (1849-1912)",Male,Sweden,Artist,1849,1912,natural causes,63
688,Q7833,Boris Vian,"French polymath: writer, poet, musician, singer, translator, critic, actor, inventor and engineer (1920-1959)",Male,France,Artist,1920,1959,natural causes,39
689,Q7836,René Magritte,Belgian painter (1898-1967),Male,Belgium,Artist,1898,1967,natural causes,69
690,Q7841,Alfred Jarry,French writer,Male,France,Artist,1873,1907,natural causes,34
691,Q7934,Frank Herbert,American writer,Male,United States,Artist,1920,1986,natural causes,66
692,Q7981,Lluís Companys,123rd President of Catalonia,Male,Spain,Politician,1882,1940,capital punishment,58
695,Q8003,Sergei Eisenstein, filmmaker,Male,Russia; Russia,Artist,1898,1948,natural causes,50
697,Q8006,Akira Kurosawa,Japanese film maker,Male,Japan,Artist,1910,1998,natural causes,88
698,Q8007,Franklin Delano Roosevelt,"U.S. American politician, 32nd president of the United States (1882-1945)",Male,United States,Politician,1882,1945,natural causes,63
699,Q8016,Winston Churchill,"British statesman, army officer, and writer (1874–1965)",Male,United Kingdom,Researcher,1874,1965,natural causes,91
702,Q8027,Martin Luther King Jr.,"American clergyman, activist, and leader in the American Civil Rights Movement",Male,United States,Artist,1929,1968,homicide,39
707,Q8159,Paul Bocuse,French chef,Male,France,Businessperson,1926,2018,natural causes,92
720,Q8440,Hugo Chávez,president of Venezuela (1999-2013),Male,Venezuela,Politician,1954,2013,natural causes,59
721,Q8442,Otto von Bismarck,German statesman and Chancellor (1815-1898),Male,Germany,Politician,1815,1898,natural causes,83
722,Q8446,Kurt Cobain,"American singer, musician, and composer",Male,United States,Artist,1967,1994,suicide,27
735,Q8556,Edsger W. Dijkstra,Dutch computer scientist,Male,Netherlands,Researcher,1930,2002,natural causes,72
737,Q8573,Sun Yat-sen,"Chinese physician, politician and revolutionary (1866-1925)",Male,China,Politician,1866,1925,natural causes,59
740,Q8612,Andrew Johnson,"American politician, 17th President of the United States (in office from 1865 to 1869)",Male,United States,Politician,1808,1875,natural causes,67
741,Q8619,Pierre Trudeau,15th Prime Minister of Canada (1919-2000),Male,Canada,Politician,1919,2000,natural causes,81
742,Q8620,Kwame Nkrumah,Ghanaian pan-africanist and the first Prime Minister and President of Ghana (1909-1972),Male,Ghana,Artist,1909,1972,natural causes,63
747,Q8677,Juan Trippe,American commercial aviation pioneer and founder of Pan American World Airways,Male,United States,Entrepreneur,1899,1981,natural causes,82
748,Q8704,Walt Disney,American film producer and businessman (1901-1966),Male,United States,Artist,1901,1966,natural causes,65
749,Q8743,Thomas Alva Edison,American inventor and businessman,Male,United States,Researcher,1847,1931,natural causes,84
751,Q8753,Enrico Fermi,Italian physicist,Male,United States,Researcher,1901,1954,natural causes,53
754,Q8768,Henry Ford,American industrialist and business magnate,Male,United States,Artist,1863,1947,natural causes,84
763,Q9021,Max Planck,German theoretical physicist,Male,Germany,Researcher,1858,1947,natural causes,89
764,Q9036,Nikola Tesla,Serbian-American inventor,Male,United States,Researcher,1856,1943,natural causes,87
767,Q9061,Karl Marx,"German philosopher, economist, sociologist, journalist and revolutionary socialist (1818-1883)",Male,Kingdom of Prussia,Researcher,1818,1883,natural causes,65
769,Q9095,James Clerk Maxwell,Scottish physicist and mathematician,Male,United Kingdom,Researcher,1831,1879,natural causes,48
771,Q9106,Dmitri Mendeleev,Russian chemist,Male,Russia,Researcher,1834,1907,natural causes,73
773,Q9130,Erwin Schrödinger,Austrian physicist,Male,Ireland,Researcher,1887,1961,natural causes,74
777,Q9204,C. S. Lewis,British writer,Male,United Kingdom,Researcher,1898,1963,natural causes,65
778,Q9215,Sigmund Freud,Austrian neurologist known as the founding father of psychoanalysis,Male,Germany,Neurologist; psychoanalyst,1856,1939,euthanasia,83
781,Q9317,John Maynard Keynes,British economist (1883-1946),Male,United Kingdom,Researcher,1883,1946,natural causes,63
783,Q9327,Guy de Maupassant,French writer,Male,France,Artist,1850,1893,natural causes,43
787,Q9358,Friedrich Nietzsche,"German philosopher, poet, composer, cultural critic, and classical philologist",Male,Germany,Researcher,1844,1900,natural causes,56
788,Q9364,Jean-Paul Sartre,"French existentialist philosopher, playwright, novelist, screenwriter, political activist, biographer, and literary critic",Male,France,Artist,1905,1980,natural causes,75
791,Q9387,Max Weber,"German sociologist, philosopher, and political economist (1864-1920)",Male,Kingdom of Prussia; Weimar Republic,Researcher,1864,1920,natural causes,56
792,Q9391,Ludwig Wittgenstein,Austrian-British philosopher,Male,Austria,Researcher,1889,1951,natural causes,62
798,Q9439,Queen Victoria,British monarch who reigned 1837–1901,Female,United Kingdom,Artist,1819,1901,natural causes,82
801,Q9486,Graham Taylor,English association football player and manager (1944-2017),Male,United Kingdom,Athlete,1944,2017,natural causes,73
802,Q9513,A. P. J. Abdul Kalam,"11th President of India, scientist and science administrator (1931-2015)",Male,India,Researcher,1931,2015,natural causes,84
806,Q9582,Gerald Ford,"American politician, 38th President of the United States (in office from 1974 to 1977)",Male,United States,Politician,1913,2006,natural causes,93
807,Q9588,Richard Nixon,37th President of the United States (1913-1994),Male,United States,Politician,1913,1994,natural causes,81
809,Q9640,Lyndon B. Johnson,36th president of the United States (1908-1973),Male,United States,Politician,1908,1973,natural causes,65
810,Q9685,"Diana, Princess of Wales","first wife of Charles, Prince of Wales (1961-1997)",Female,United Kingdom,Socialite; environmentalist; philanthropist; humanitarian,1961,1997,accident,36
812,Q9696,John F. Kennedy,35th president of the United States (1917-1963),Male,United States,Politician,1917,1963,homicide,46
837,Q9916,Dwight D. Eisenhower,"United States Army general, statesman and 34th president of the United States (1890-1969)",Male,United States,Politician,1890,1969,natural causes,79
840,Q9960,Ronald Reagan,40th president of the United States and actor,Male,United States,Artist,1911,2004,natural causes,93
861,Q10390,John McCain,American politician (1936-2018),Male,United States,Artist,1936,2018,natural causes,82
862,Q10411,Odd Børretzen,"Norwegian author, illustrator, translator and singer-songwriter (1926-2012)",Male,Norway,Artist,1926,2012,natural causes,86
863,Q10490,Ayrton Senna,Brazilian racing driver,Male,Brazil,Businessperson,1960,1994,accident,34
864,Q10664,Neville Chamberlain,former Prime Minister of the United Kingdom (1869-1940),Male,United Kingdom,Politician,1869,1940,natural causes,71
865,Q10665,Kim Jong-il,General Secretary of the Workers' Party of Korea (1941-2011),Male,North Korea,Politician,1941,2011,natural causes,70
866,Q10678,Yann-Fañch Kemener,traditional singer,Male,France,Artist,1957,2019,natural causes,62
868,Q10707,Robert Mugabe,2nd President of Zimbabwe (1924-2019),Male,Zimbabwe,Politician,1924,2019,natural causes,95
872,Q10953,Henriette Avram,American computer programmer and system analyst,Female,United States,Researcher,1919,2006,natural causes,87
879,Q11093,Valerie Solanas,American radical feminist and author,Female,United States,Artist,1936,1988,natural causes,52
883,Q11156,Antonin Scalia,former Associate Justice of the Supreme Court of the United States,Male,United States,Researcher,1936,2016,natural causes,80
884,Q11237,Nelson Rockefeller,American politician (1908-1979),Male,United States,Politician,1908,1979,natural causes,71
886,Q11270,Fulgencio Batista,Cuban politician,Male,Cuba,Politician,1901,1973,suicide; natural causes,72
