Id,Name,Short description,Gender,Country,Birth year,Death year,Manner of death,Age of death
Q27351,Senkichi Taniguchi,Japanese film director and screenwriter,Male,Japan,[1900-1930],[1990-2019],natural causes,[72-99]
Q27363,Tatsuo Shimabuku,founder of Isshin-ryū,Male,Japan,[1900-1930],[1960-1990],natural causes,[44-72]
Q27743,Lonnie Donegan,Scottish-born skiffle musician,Male,United Kingdom,[1930-1960],[1990-2019],natural causes,[44-72]
Q27826,Zhang Yang,Chinese general of the People's Liberation Army (1951-2017),Male,China,[1930-1960],[1990-2019],suicide,[44-72]
Q28085,Adolf Eichmann,German-Austrian SS officer and one of the major organizers of the Holocaust (1906-1962),Male,Austria,[1900-1930],[1960-1990],capital punishment,[44-72]
Q28189,Abdus Salam,theoretical physicist and Nobel Prize in Physics recipient,Male,Pakistan,[1900-1930],[1990-2019],natural causes,[44-72]
Q28517,Todor Zhivkov,communist-head of state of the People's Republic of Bulgaria (1911-1998),Male,Bulgaria,[1900-1930],[1990-2019],natural causes,[72-99]
Q28740,Ian Porterfield,British footballer (1946-2007),Male,United Kingdom,[1930-1960],[1990-2019],natural causes,[44-72]
Q29092,Desmond Llewelyn,Welsh actor (1914-1999),Male,United Kingdom,[1900-1930],[1990-2019],accident,[72-99]
Q29365,Mutsuko Miki,Japanese activist,Female,Japan,[1900-1930],[1990-2019],natural causes,[72-99]
Q29544,Delia Derbyshire,English musician and composer of electronic music,Female,United Kingdom,[1930-1960],[1990-2019],natural causes,[44-72]
Q29604,Yinka Dare,Nigerian basketball player,Male,Nigeria,[1960-1990],[1990-2019],natural causes,[16-44]
Q29621,J. Neil Schulman,American novelist,Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q30587,Stan Getz,American jazz saxophonist,Male,United States,[1900-1930],[1990-2019],natural causes,[44-72]
Q31073,Walter Cronkite,American broadcast journalist,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q31083,Wilma Rudolph,African American athlete,Female,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q31221,Evelyn Brent,stage and film actress from the United States,Female,United States,[1900-1930],[1960-1990],natural causes,[72-99]
Q31225,Mark Robson,"film director, producer, and editor from Canada",Male,Canada,[1900-1930],[1960-1990],natural causes,[44-72]
Q31442,Emiliano Sala,Argentine association football player (1990-2019),Male,Argentina,[1960-1990],[1990-2019],accident,[16-44]
Q31481,Pierre Barouh,French writer composer singer,Male,France,[1930-1960],[1990-2019],natural causes,[72-99]
Q31737,Yi Chong-jun,South Korean writer,Male,South Korea,[1930-1960],[1990-2019],natural causes,[44-72]
Q32258,James Joseph Dresnok,American defector to North Korea,Male,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q32337,Lita Grey,American actress (1908-1995),Female,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q32749,Choi Yo-sam,South Korean boxer,Male,South Korea,[1960-1990],[1990-2019],accident,[16-44]
Q32923,Rituparno Ghosh,"Indian film director, actor, writer and lyricist",Male,India,[1960-1990],[1990-2019],natural causes,[44-72]
Q33637,Marcel Reich-Ranicki,Polish-born German literary critic,Male,Poland,[1900-1930],[1990-2019],natural causes,[72-99]
Q33817,Edmund Hillary,New Zealand mountaineer,Male,New Zealand,[1900-1930],[1990-2019],natural causes,[72-99]
Q34012,Marlon Brando,"American actor, film director, and activist (1924-2004)",Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q34060,Yitzhak Rabin,"Israeli politician, statesman and general (1922-1995)",Male,Israel,[1900-1930],[1990-2019],homicide,[72-99]
Q34189,Pablo Neruda,"Chilean poet, diplomat, politician (1904-1973)",Male,Chile,[1900-1930],[1960-1990],natural causes,[44-72]
Q34389,Whitney Houston,"American singer, actress, model, and record producer (1963-2012)",Female,United States,[1960-1990],[1990-2019],accident,[44-72]
