Id,Name,Short description,Gender,Country,Birth year,Death year,Manner of death,Age of death
Q48973,Glenn Seaborg,American scientist,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q48983,Linus Pauling,American scientist,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q48987,Jonathan Demme,"American filmmaker, producer and screenwriter",Male,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q49004,Patrick Swayze,"American actor, dancer and singer songwriter (1952-2009)",Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q49027,Vittorio Mezzogiorno,Italian actor (1941-1994),Male,Italy,[1930-1960],[1990-2019],natural causes,[44-72]
Q49034,Hedy Lamarr,Austrian-American actress and co-inventor of an early technique for spread spectrum communications and frequency hopping,Female,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q49074,Kurt Vonnegut,American writer (1922-2007),Male,United States,[1900-1930],[1990-2019],accident,[72-99]
Q49081,Christopher Hitchens,British-American author and journalist,Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q49086,Simon Wiesenthal,Polish-born Austrian Holocaust survivor noted for his work as a  hunter (1908-2005),Male,Austria,[1900-1930],[1990-2019],natural causes,[72-99]
Q49284,Judith Resnik,American engineer and NASA astronaut who died in the Space Shuttle Challenger disaster,Female,United States,[1930-1960],[1960-1990],accident,[16-44]
Q49285,Sally Ride,American physicist and astronaut,Female,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q49575,Dizzy Gillespie,American jazz trumpeter,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q49637,Roger Nimier,French novelist,Male,France,[1900-1930],[1960-1990],accident,[16-44]
Q49734,Cass Elliot,"American recording artist; singer, record producer (1941-1974)",Female,United States,[1930-1960],[1960-1990],natural causes,[16-44]
Q49828,Randy Pausch,"American professor of computer science, human-computer interaction and design",Male,United States,[1960-1990],[1990-2019],natural causes,[44-72]
Q49888,Solomon Burke,American singer,Male,United States,[1930-1960],[1990-2019],accident,[44-72]
Q49976,Koichi Kato,Japanese politician of the Liberal Democratic Party (1939-2016),Male,Japan,[1930-1960],[1990-2019],natural causes,[72-99]
Q50003,Alberto Sordi,"Italian actor, film director, voice actor, screenwriter and singer",Male,Italy,[1900-1930],[1990-2019],natural causes,[72-99]
Q50026,Miyu Matsuki,Japanese voice actress,Female,Japan,[1960-1990],[1990-2019],natural causes,[16-44]
Q50599,Ted Stevens,United States Senator from Alaska (1923-2010),Male,United States,[1900-1930],[1990-2019],accident,[72-99]
Q51008,John Evans Atta Mills,sixth President of the Republic of Ghana (1944-2012),Male,Ghana,[1930-1960],[1990-2019],natural causes,[44-72]
Q51029,Yi Bangja,Japanese-Korean princess,Female,Japan,[1900-1930],[1960-1990],natural causes,[72-99]
Q51057,Len Wein,American comic book writer and editor,Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q51137,Carlo Scarpa,Italian architect,Male,Italy,[1900-1930],[1960-1990],accident,[72-99]
Q51139,Alvin Stardust,English pop singer and stage actor (1942-2014),Male,United Kingdom,[1930-1960],[1990-2019],natural causes,[72-99]
Q51267,Kofi Abrefa Busia,university teacher at Leiden University (1913-1978),Male,Ghana,[1900-1930],[1960-1990],natural causes,[44-72]
Q51488,John Cassavetes,"American actor, film director, and screenwriter (1929-1989)",Male,United States,[1900-1930],[1960-1990],natural causes,[44-72]
Q51490,George Stevens,"American film director, producer, screenwriter and cinematographer (1904-1975)",Male,United States,[1900-1930],[1960-1990],natural causes,[44-72]
Q51495,William Wyler,"German-born American film director, producer and screenwriter (1902-1981)",Male,United States,[1900-1930],[1960-1990],natural causes,[72-99]
Q51506,Richard Attenborough,"English actor, film director and producer (1923-2014)",Male,United Kingdom,[1900-1930],[1990-2019],natural causes,[72-99]
Q51511,George A. Romero,"American-Canadian film director, film producer, screenwriter and editor (1940-2017)",Male,Canada,[1930-1960],[1990-2019],natural causes,[72-99]
Q51519,Alan J. Pakula,"American film director, writer and producer (1928-1998)",Male,United States,[1900-1930],[1990-2019],accident,[44-72]
Q51522,Sydney Pollack,"American film director, producer and actor (1934-2008)",Male,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q51535,Vincente Minnelli,American stage and film director,Male,United States,[1900-1930],[1960-1990],natural causes,[72-99]
Q51537,Mike Nichols,"German-American television director, writer, producer and comedian (1931-2014)",Male,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q51547,Billy Wilder,Austrian-born American film director and screenwriter (1906-2002),Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q51549,Jacques Tati,French filmmaker (1907-1982),Male,France,[1900-1930],[1960-1990],natural causes,[72-99]
Q51559,Sidney Lumet,"American director, producer and screenwriter",Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q51570,George Roy Hill,American film director (1921-2002),Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q51583,Joseph L. Mankiewicz,"American film director, screenwriter, and producer (1909-1993)",Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q51584,Gustav Leonhardt,"Dutch keyboard player, conductor, musicologist, teacher and editor",Male,Netherlands,[1900-1930],[1990-2019],natural causes,[72-99]
Q52396,Sara Mustonen,Finnish alpine skier,Female,Finland,[1960-1990],[1960-1990],accident,[16-44]
Q52411,Tony Richardson,English theatre and film director and producer,Male,United Kingdom,[1900-1930],[1990-2019],natural causes,[44-72]
Q52488,Ales Adamovich,Belarusian writer,Male,Belarus,[1900-1930],[1990-2019],natural causes,[44-72]
Q52627,Bob Mathias,American decathlete (1930-2006),Male,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q52640,Parry O'Brien,"Athletics competitor, shot putter",Male,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q52642,Al Oerter,American athlete (1936-2007),Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q52651,Jesse Owens,American track and field athlete,Male,United States,[1900-1930],[1960-1990],natural causes,[44-72]
Q52923,Janice E. Voss,American engineer and NASA astronaut,Female,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q52985,Hergé,Belgian comics writer,Male,Belgium,[1900-1930],[1960-1990],natural causes,[72-99]
Q52997,Otto Preminger,"American director, producer, actor (1905-1986)",Male,United States,[1900-1930],[1960-1990],natural causes,[72-99]
Q53002,François Truffaut,French film director (1932-1984),Male,France,[1930-1960],[1960-1990],natural causes,[44-72]
Q53003,Roberto Rossellini,Italian film director and screenwriter,Male,Italy,[1900-1930],[1960-1990],natural causes,[44-72]
Q53004,Vittorio De Sica,Italian film director,Male,Italy,[1900-1930],[1960-1990],natural causes,[72-99]
Q53006,Pietro Germi,Italian actor (1914-1974),Male,Italy,[1900-1930],[1960-1990],natural causes,[44-72]
Q53009,Bernardo Bertolucci,Italian film director and screenwriter,Male,Italy,[1930-1960],[1990-2019],natural causes,[72-99]
Q53015,Luigi Comencini,Italian film director,Male,Italy,[1900-1930],[1990-2019],natural causes,[72-99]
Q53018,Marco Ferreri,"Italian film director, screenwriter and actor",Male,Italy,[1900-1930],[1990-2019],natural causes,[44-72]
Q53023,Nanni Loy,"Italian film, theatre and TV director",Male,Italy,[1900-1930],[1990-2019],natural causes,[44-72]
Q53026,Mario Monicelli,Italian film director and screenwriter,Male,Italy,[1900-1930],[1990-2019],suicide,[72-99]
Q53031,Gillo Pontecorvo,Italian film director,Male,Italy,[1900-1930],[1990-2019],natural causes,[72-99]
Q53034,Dino Risi,Italian film director,Male,Italy,[1900-1930],[1990-2019],natural causes,[72-99]
Q53035,Massimo Troisi,"Italian actor, film director, and poet",Male,Italy,[1930-1960],[1990-2019],natural causes,[16-44]
Q53041,Valerio Zurlini,Italian film director and screenwriter,Male,Italy,[1900-1930],[1960-1990],internal bleeding,[44-72]
Q53044,Elio Petri,Italian political filmmaker,Male,Italy,[1900-1930],[1960-1990],natural causes,[44-72]
Q53325,Arthur Ashe,American tennis player,Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q53343,Don Budge,American tennis player,Male,United States,[1900-1930],[1990-2019],accident,[72-99]
Q53349,Carole Caldwell Graebner,American tennis player,Female,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q53390,Maureen Connolly,American tennis player,Female,United States,[1930-1960],[1960-1990],natural causes,[16-44]
Q53547,Vitas Gerulaitis,American tennis player,Male,United States,[1930-1960],[1990-2019],accident,[16-44]
Q53554,Pancho Gonzales,American tennis player,Male,United States,[1900-1930],[1990-2019],natural causes,[44-72]
Q53713,Olof Palme,Swedish Prime Minister,Male,Sweden,[1900-1930],[1960-1990],homicide,[44-72]
Q53729,Walter Bonatti,Italian mountaineer,Male,Italy,[1930-1960],[1990-2019],natural causes,[72-99]
Q54526,Gene Mako,American tennis player,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q54529,Jack Kramer,American tennis player,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q54539,Bobby Riggs,American tennis player,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q54540,Chuck McKinley,American tennis player,Male,United States,[1930-1960],[1960-1990],natural causes,[44-72]
Q54547,Sarah Palfrey Cooke,American tennis player,Female,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q54580,Ted Schroeder,US tennis player,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q54581,Pancho Segura,American tennis player,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q54885,Jean Ferrat,French singer songwriter and poet,Male,France,[1930-1960],[1990-2019],natural causes,[72-99]
Q55004,Kurt Weill,German composer,Male,United States,[1900-1930],[1930-1960],natural causes,[44-72]
Q55163,Robert Altman,American film director and screenwriter,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q55165,Krzysztof Kieślowski,Polish film director and screenwriter,Male,Poland,[1930-1960],[1990-2019],natural causes,[44-72]
Q55168,Thodoros Angelopoulos,"Greek film director, screenwriter and film producer",Male,Greece,[1930-1960],[1990-2019],accident,[72-99]
Q55190,Sergei Bondarchuk," and Russian film director, screenwriter, and actor",Male,Russia,[1900-1930],[1990-2019],natural causes,[72-99]
Q55210,Abbas Kiarostami,"Iranian film director, screenwriter, photographer and film producer (1940-2016)",Male,Iran,[1930-1960],[1990-2019],natural causes,[72-99]
Q55230,Emeric Pressburger,"Hungarian-British screenwriter, film director, and producer (1902-1988)",Male,Hungary,[1900-1930],[1960-1990],natural causes,[72-99]
Q55234,Michael Powell,English film director (1905-1990),Male,United Kingdom,[1900-1930],[1990-2019],natural causes,[72-99]
Q55245,Laurence Olivier,"British actor, director and producer (1907-1989)",Male,United Kingdom,[1900-1930],[1960-1990],natural causes,[72-99]
Q55260,David Lean,"British film director, producer and screenwriter (1908-1991)",Male,United Kingdom,[1900-1930],[1990-2019],natural causes,[72-99]
Q55375,Claude Chabrol,"French film director, screenwriter, film producer and actor (1930-2010)",Male,France,[1930-1960],[1990-2019],natural causes,[72-99]
Q55389,Maciej Kozłowski,Polish actor (1957-2010),Male,Poland,[1930-1960],[1990-2019],natural causes,[44-72]
Q55391,Robert Bresson,French film director,Male,France,[1900-1930],[1990-2019],natural causes,[72-99]
Q55392,Louis Malle,"French film director, screenwriter, and producer",Male,France,[1930-1960],[1990-2019],natural causes,[44-72]
Q55395,Jean Vigo,French film director,Male,France,[1900-1930],[1930-1960],natural causes,[16-44]
Q55397,Kon Ichikawa,Japanese film director,Male,Japan,[1900-1930],[1990-2019],natural causes,[72-99]
Q55402,Yasujirō Ozu,Japanese Film Director,Male,Japan,[1900-1930],[1960-1990],natural causes,[44-72]
Q55403,Nagisa Ōshima,Japanese film director and screenwriter,Male,Japan,[1930-1960],[1990-2019],natural causes,[72-99]
Q55419,Klaus Kinski,German actor,Male,Germany,[1900-1930],[1990-2019],natural causes,[44-72]
Q55420,Fred Zinnemann,Austrian-born American film director (1907-1997),Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q55427,João César Monteiro,"Portuguese film director, actor, writer and film critic",Male,Portugal,[1930-1960],[1990-2019],natural causes,[44-72]
Q55438,Mario Bava,"Italian director, screenwriter, special effects artist and cinematographer",Male,Italy,[1900-1930],[1960-1990],natural causes,[44-72]
Q55452,Vittorio Gassman,Italian actor and director,Male,Italy,[1900-1930],[1990-2019],natural causes,[72-99]
Q55456,Nino Manfredi,Italian actor,Male,Italy,[1900-1930],[1990-2019],natural causes,[72-99]
Q55462,Antonio Pietrangeli,Italian film director and screenwriter,Male,Italy,[1900-1930],[1960-1990],accident,[44-72]
Q55468,Ugo Tognazzi,"Italian film, TV, and theatre actor, director, and screenwriter",Male,Italy,[1900-1930],[1990-2019],natural causes,[44-72]
Q55469,Marcello Mastroianni,Italian actor,Male,Italy,[1900-1930],[1990-2019],natural causes,[72-99]
Q55718,Krystyna Feldman,Polish actress (1916-2007),Female,Poland,[1900-1930],[1990-2019],natural causes,[72-99]
Q55744,Vijay Tendulkar,Indian writer,Male,India,[1900-1930],[1990-2019],natural causes,[72-99]
Q55766,Zygmunt Kęstowicz,Polish actor (1921-2007),Male,Poland,[1900-1930],[1990-2019],natural causes,[72-99]
Q55796,Peter Ustinov,"British actor, writer, and filmmaker (1921-2004)",Male,United Kingdom,[1900-1930],[1990-2019],natural causes,[72-99]
Q55834,Wojciech Jaruzelski,Polish military officer and politician (1923-2014),Male,Poland,[1900-1930],[1990-2019],natural causes,[72-99]
Q55835,Ryszard Kaczorowski,"Polish statesman, Last President of Poland in Exile (1919-2010)",Male,Poland,[1900-1930],[1990-2019],accident,[72-99]
Q55924,Józef Oleksy,"Polish politician, Prime Minister of Poland (1946-2015)",Male,Poland,[1930-1960],[1990-2019],natural causes,[44-72]
Q55941,Przemysław Gosiewski,Polish politician (1964-2010),Male,Poland,[1960-1990],[1990-2019],accident,[44-72]
Q56011,Anna Magnani,Italian actress,Female,Italy,[1900-1930],[1960-1990],natural causes,[44-72]
Q56016,Katharine Hepburn,American actress (1907-2003),Female,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q56074,Rocío Dúrcal,Spanish singer and actress,Female,Spain,[1930-1960],[1990-2019],natural causes,[44-72]
Q56093,Blake Edwards,"American film director, screenwriter and producer (1922-2010)",Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q56102,Eudoxia Woodward,American artist and researcher (1919-2008),Female,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q56157,Jussi Björling,Swedish tenor,Male,Sweden,[1900-1930],[1960-1990],natural causes,[44-72]
Q56778,Archie Taiaroa,New Zealand Māori leader (1937-2010),Male,New Zealand,[1930-1960],[1990-2019],natural causes,[72-99]
Q57109,Josef Mengele,officer and physician (1911-1979),Male,Germany,[1900-1930],[1960-1990],accident,[44-72]
Q57157,Hanna Reitsch,German aviator,Female,Austria,[1900-1930],[1960-1990],natural causes,[44-72]
Q57163,Horst Wessel,SA officer (1907-1930),Male,Germany,[1900-1930],[1930-1960],homicide,[16-44]
Q57199,Joachim Peiper,"SS officer and  war criminal, who killed both civilians and prisoners of war.",Male,Germany,[1900-1930],[1960-1990],homicide,[44-72]
Q57202,Magda Goebbels,German politician (1901-1945),Female,Germany,[1900-1930],[1930-1960],suicide,[44-72]
Q57214,Traudl Junge,secretary to Adolf Hitler (1920-2002),Female,Germany,[1900-1930],[1990-2019],natural causes,[72-99]
Q57218,Rudi Dutschke,German student activist,Male,Germany,[1930-1960],[1960-1990],natural causes,[16-44]
Q57220,Kurt Meyer,German general,Male,Germany,[1900-1930],[1960-1990],natural causes,[44-72]
Q57253,Otto Kretschmer,German admiral and U-boat commander during World War II,Male,Germany,[1900-1930],[1990-2019],accident,[72-99]
Q57259,Hans-Joachim Marseille,German officer and fighter pilot during World War II,Male,Germany,[1900-1930],[1930-1960],accident,[16-44]
Q57268,Gerhard Barkhorn,German general and fighter pilot during World War II,Male,Germany,[1900-1930],[1960-1990],accident,[44-72]
Q57292,Ulrich Mühe,German actor and theatre director,Male,Germany,[1930-1960],[1990-2019],natural causes,[44-72]
Q57298,Abdullah of Saudi Arabia,former King of Saudi Arabia (1924-2015),Male,Saudi Arabia,[1900-1930],[1990-2019],natural causes,[72-99]
Q57304,Prince Bernhard of the Netherlands,"spouse of Queen Juliana of the Netherlands, prince-consort of the Netherlands (1911-2004)",Male,Netherlands,[1900-1930],[1990-2019],natural causes,[72-99]
Q57306,Jalal Talabani,Iraqi politician (1933-2017),Male,Iraq,[1930-1960],[1990-2019],natural causes,[72-99]
Q57365,Rudolf Caracciola,German/Swiss racing and motorcycle driver,Male,Switzerland,[1900-1930],[1930-1960],natural causes,[44-72]
Q57374,Lale Andersen,German singer and actress,Female,Germany,[1900-1930],[1960-1990],natural causes,[44-72]
Q57375,Helmut Haller,German footballer (1939-2012),Male,Germany,[1930-1960],[1990-2019],natural causes,[72-99]
Q57382,Christa Wolf,German literary critic novelist and essayist (1929-2011),Female,Germany,[1900-1930],[1990-2019],natural causes,[72-99]
Q57384,Wernher von Braun," scientist brought to US with Operation Paperclip - German, later an American, aerospace engineer and space architect,",Male,United States,[1900-1930],[1960-1990],natural causes,[44-72]
Q57395,Helmut Newton,German-Australian photographer,Male,Germany,[1900-1930],[1990-2019],accident,[72-99]
Q57410,Shimon Peres,Israeli politician who served as Prime Minister and then President of Israel (1923-2016),Male,Israel,[1900-1930],[1990-2019],natural causes,[72-99]
Q57426,Heiner Müller,"German writer, poet, and theatre director (1929-1995)",Male,Germany,[1900-1930],[1990-2019],natural causes,[44-72]
Q57445,Günter Schabowski,German politician (1929-2015),Male,Germany,[1900-1930],[1990-2019],natural causes,[72-99]
Q57489,Benno Ohnesorg,West German university student killed on 2 June 1967,Male,Germany,[1930-1960],[1960-1990],accident,[16-44]
Q57522,Albrecht Mertz von Quirnheim,German resistance member,Male,Germany,[1900-1930],[1930-1960],capital punishment,[16-44]
Q57540,Otto Günsche,Hitler's personal adjutant,Male,Germany,[1900-1930],[1990-2019],natural causes,[72-99]
Q57543,Sprent Dabwido,president of Nauru (1972-2019),Male,Nauru,[1960-1990],[1990-2019],natural causes,[44-72]
Q57558,Islam Karimov,"Uzbek politician, 1st and former President of Uzbekistan (1938-2016)",Male,Uzbekistan,[1930-1960],[1990-2019],natural causes,[72-99]
Q57574,Henning von Tresckow,German general,Male,Germany,[1900-1930],[1930-1960],suicide,[16-44]
Q57575,Otto Ohlendorf,German general,Male,Germany,[1900-1930],[1930-1960],capital punishment,[44-72]
Q57584,Curd Jürgens,"film, stage and TV actor (1915-1982)",Male,Austria,[1900-1930],[1960-1990],natural causes,[44-72]
Q57626,Princess Sibylla of Saxe-Coburg and Gotha,Swedish princess,Female,Sweden,[1900-1930],[1960-1990],natural causes,[44-72]
Q57681,José Antonio Primo de Rivera,Spanish noble and politician (1903-1936),Male,Spain,[1900-1930],[1930-1960],capital punishment,[16-44]
Q57688,Josef Kramer,"German SS officer and concentration camp commandant, convicted war criminal (1906-1945)",Male,Germany,[1900-1930],[1930-1960],capital punishment,[16-44]
Q57689,Martin McGuinness,Irish republican and Sinn Féin politician (1950-2017),Male,Ireland,[1930-1960],[1990-2019],natural causes,[44-72]
Q57708,Arthur Liebehenschel,SS officer,Male,Germany,[1900-1930],[1930-1960],capital punishment,[44-72]
Q57762,Morgan Tsvangirai,former Prime Minister of Zimbabwe (1952-2018),Male,Zimbabwe,[1930-1960],[1990-2019],natural causes,[44-72]
Q57774,Klaus Nomi,German countertenor,Male,Germany,[1930-1960],[1960-1990],natural causes,[16-44]
Q57781,Walter Schellenberg,"German general (1910-1952); police officer and SS brigade leader, head of the military secret services",Male,Germany,[1900-1930],[1930-1960],natural causes,[16-44]
Q57809,Fritz Wunderlich,German tenor,Male,Germany,[1930-1960],[1960-1990],accident,[16-44]
Q57820,Hans Scholl,German pacifist executed by  Germany,Male,Germany,[1900-1930],[1930-1960],capital punishment,[16-44]
Q57938,Fritz London,American physicist,Male,United States,[1900-1930],[1930-1960],natural causes,[44-72]
Q58009,Wilhelm Stuckart,German judge and politician (1902-1953),Male,Germany,[1900-1930],[1930-1960],accident,[44-72]
Q58036,Ilse Koch,German war-criminal wife of camp commandant Karl-Otto Koch (1906-1967),Female,Germany,[1900-1930],[1960-1990],suicide,[44-72]
Q58040,Andre Gunder Frank,German-American economic historian and sociologist who promoted dependency theory after 1970 and world-systems theory after 1984,Male,Germany,[1900-1930],[1990-2019],natural causes,[72-99]
Q58073,Héctor Timerman,Argentine journalist and politician (1953-2018),Male,Argentina,[1930-1960],[1990-2019],natural causes,[44-72]
Q58143,Reinaldo Gargano,Uruguayan politician (1934-2013),Male,Uruguay,[1930-1960],[1990-2019],natural causes,[72-99]
Q58284,Guido Westerwelle,"German politician (FDP), Foreign Minister of Germany (1961-2016)",Male,Germany,[1960-1990],[1990-2019],natural causes,[44-72]
Q58295,Carlos Morales Troncoso,Dominican Republic politician (1940-2014),Male,Dominican Republic,[1930-1960],[1990-2019],natural causes,[72-99]
Q58612,Yehuda Amichai,Israeli poet,Male,Germany,[1900-1930],[1990-2019],natural causes,[72-99]
Q58620,Hans Fritzsche,German official,Male,Germany,[1900-1930],[1930-1960],natural causes,[44-72]
Q58632,Hans Eysenck,British psychologist,Male,United Kingdom,[1900-1930],[1990-2019],natural causes,[72-99]
Q58641,Werner Mölders,German officer and fighter pilot during World War II,Male,Germany,[1900-1930],[1930-1960],accident,[16-44]
Q58676,Max August Zorn,German mathematician,Male,United States,[1900-1930],[1990-2019],accident,[72-99]
Q58743,Günther Rall,German general and fighter pilot during World War II,Male,Germany,[1900-1930],[1990-2019],natural causes,[72-99]
Q58758,Hanns Martin Schleyer,German and Industrialist was murdered by the RAF,Male,Germany,[1900-1930],[1960-1990],homicide,[44-72]
Q58787,José Song Sui-Wan,Chinese bishop,Male,China,[1930-1960],[1990-2019],natural causes,[44-72]
Q58791,Richard Baer,SS officer (1911-1963),Male,Germany,[1900-1930],[1960-1990],natural causes,[44-72]
Q58799,Wolfgang Borchert,"German playwright, and short story writer",Male,Germany,[1900-1930],[1930-1960],natural causes,[16-44]
Q58825,Christoph Probst,White rose-member,Male,Germany,[1900-1930],[1930-1960],capital punishment,[16-44]
Q58889,Billy Mays,American salesperson,Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q59204,Alberto Lattuada,Italian film director,Male,Italy,[1900-1930],[1990-2019],natural causes,[72-99]
Q59314,Gloria Grahame,American actress (1923-1981),Female,United States,[1900-1930],[1960-1990],natural causes,[44-72]
Q59327,Andrzej Sariusz-Skąpski,Polish prosecutor,Male,Poland,[1930-1960],[1990-2019],accident,[72-99]
Q59471,Adib Shishakli,Syrian politician killed in 1964,Male,Syria,[1900-1930],[1960-1990],homicide,[44-72]
Q59608,Jackie Blanchflower,Northern Irish footballer (1933-1998),Male,United Kingdom,[1930-1960],[1990-2019],natural causes,[44-72]
Q59630,Roddy Piper,Canadian professional wrestler and actor (1954-2015),Male,Canada,[1930-1960],[1990-2019],natural causes,[44-72]
Q59635,Randy Savage,American professional wrestler (1952-2011),Male,United States,[1930-1960],[1990-2019],accident; natural causes,[44-72]
Q59817,Ewald Kluge,German motorcyclist,Male,Germany,[1900-1930],[1960-1990],natural causes,[44-72]
Q59821,Robert Wise,"American film director, film producer and film editor",Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q59824,Kim Hunter,American actress (1922-2002),Female,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q60025,Hannah Arendt,German-American philosopher and political theorist (1906-1975),Female,United States,[1900-1930],[1960-1990],natural causes,[44-72]
Q60031,Martin Rodbell,American biochemist (1925-1998),Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q60039,Reinhard Heydrich,German SS and police official and main architect of the Holocaust (1904-1942),Male,Germany,[1900-1930],[1930-1960],homicide,[16-44]
Q60087,Hans Frank,"German lawyer and  politician, convicted war criminal (1900-1946)",Male,Germany,[1900-1930],[1930-1960],capital punishment,[44-72]
Q60128,Alexander Fadeyev,writer and politician (1901-1956),Male,Russia,[1900-1930],[1930-1960],suicide,[44-72]
Q60160,Conrad Schumann,East German soldier,Male,Germany,[1930-1960],[1990-2019],suicide,[44-72]
Q60206,Ariel Sharon,prime minister of Israel and Israeli general (1928-2014),Male,Israel,[1900-1930],[1990-2019],natural causes,[72-99]
Q60222,Erhard Heiden,German and 3rd Reichsführer SS of the Schutzstaffel (1901-1933),Male,Germany,[1900-1930],[1930-1960],capital punishment,[16-44]
Q60306,Anita Pallenberg,"German actress, model and Rolling Stones groupie",Female,Italy,[1930-1960],[1990-2019],natural causes,[72-99]
Q60357,Walther Wenck,Wehrmacht general,Male,Germany,[1900-1930],[1960-1990],accident,[72-99]
Q60403,Bernd Rosemeyer,German racecar driver and icon of national-socialism,Male,Germany,[1900-1930],[1930-1960],accident,[16-44]
Q60454,Günter Guillaume,Stasi officer,Male,Germany,[1900-1930],[1990-2019],natural causes,[44-72]
Q60459,Viktor Brack,SS officer (1904-1948),Male,Germany,[1900-1930],[1930-1960],capital punishment,[44-72]
Q60465,Wieland Wagner,German opera director,Male,Germany,[1900-1930],[1960-1990],natural causes,[44-72]
Q60539,Horst Buchholz,German actor (1933-2003),Male,Germany,[1930-1960],[1990-2019],natural causes,[44-72]
Q60715,Walther Hewel,German diplomat (1904-1945),Male,Germany,[1900-1930],[1930-1960],suicide,[16-44]
Q60737,"Georg Donatus, Hereditary Grand Duke of Hesse",German noble,Male,Germany,[1900-1930],[1930-1960],accident,[16-44]
Q60745,Holger Meins,German revolutionary (1941-1974),Male,Germany,[1930-1960],[1960-1990],suicide,[16-44]
Q60777,Manfred Wörner,German politician (1934-1994),Male,Germany,[1930-1960],[1990-2019],natural causes,[44-72]
Q60811,Ernst Zündel,German neo editor,Male,Germany,[1930-1960],[1990-2019],natural causes,[72-99]
Q60906,Wolfgang Windgassen,German operatic tenor,Male,Germany,[1900-1930],[1960-1990],natural causes,[44-72]
Q60940,Rudolf Diels,First Gestapo chief and protege of Gestapo founder Hermann Göring (1900-1957),Male,Germany,[1900-1930],[1930-1960],accident,[44-72]
Q60947,Werner Kohlmeyer,German footballer (1924-1974),Male,Germany,[1900-1930],[1960-1990],natural causes,[44-72]
Q60953,Lilli Palmer,actress (1914-1986),Female,Switzerland,[1900-1930],[1960-1990],natural causes,[72-99]
Q60954,Heinrich von Brentano,German politician and lawyer (1904-1964),Male,Germany,[1900-1930],[1960-1990],natural causes,[44-72]
Q61006,Helene Mayer,German fencer,Female,Germany,[1900-1930],[1930-1960],natural causes,[16-44]
Q61080,Hermann Prey,opera singer,Male,Germany,[1900-1930],[1990-2019],natural causes,[44-72]
Q61101,Siegfried Buback,former Attorney General of Germany,Male,Germany,[1900-1930],[1960-1990],homicide,[44-72]
Q61115,Wilhelm Rediess,German Waffen-SS General and Police Leader (1900-1945),Male,Germany,[1900-1930],[1930-1960],suicide,[44-72]
Q61136,Gottfried von Cramm,German tennis player,Male,Germany,[1900-1930],[1960-1990],accident,[44-72]
Q61156,Heinz-Wolfgang Schnaufer,German officer and fighter pilot during World War II,Male,Germany,[1900-1930],[1930-1960],accident,[16-44]
Q61171,Erich Neumann,German psychologist and philosopher,Male,Germany,[1900-1930],[1960-1990],natural causes,[44-72]
Q61183,Waldemar Hoven,SS officer (1903-1948),Male,Germany,[1900-1930],[1930-1960],capital punishment,[44-72]
Q61191,Otl Aicher,German graphic designer and typographer,Male,Germany,[1900-1930],[1990-2019],accident,[44-72]
Q61227,Petra Kelly,German politician and activist (1947-1992),Female,Germany,[1930-1960],[1990-2019],homicide,[44-72]
Q61235,Vladimir Kuts,long-distance runner,Male,Russia,[1900-1930],[1960-1990],suicide,[44-72]
Q61240,Hermann Graf,German officer and fighter pilot during World War II,Male,Germany,[1900-1930],[1960-1990],natural causes,[72-99]
Q61286,Edgar Barth,German racing driver,Male,Germany,[1900-1930],[1960-1990],natural causes,[44-72]
